16/12/2023 11:57:47.149 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:80): db_oracle_e_ktt_test - Starting...
16/12/2023 11:57:47.852 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:82): db_oracle_e_ktt_test - Start completed.
16/12/2023 11:57:47.852 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:80): db_oracle_e_ktt_dev - Starting...
16/12/2023 11:57:48.148 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:82): db_oracle_e_ktt_dev - Start completed.
16/12/2023 11:57:48.572 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Starting ProtocolHandler ["http-nio-8088"]
16/12/2023 11:57:48.582 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (start:220): Tomcat started on port(s): 8088 (http) with context path ''
16/12/2023 11:57:48.700 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarted:61): Started KlktkotlinApplication.Companion in 3.301 seconds (JVM running for 4.587)
16/12/2023 11:57:48.702 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:40): HELLO MR.KHOAI!
16/12/2023 11:57:48.702 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:42): Active profiles: []
16/12/2023 11:57:53.399 INFO  [http-nio-8088-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] (log:173): Initializing Spring DispatcherServlet 'dispatcherServlet'
16/12/2023 11:57:53.399 INFO  [http-nio-8088-exec-2] o.s.web.servlet.DispatcherServlet (initServletBean:525): Initializing Servlet 'dispatcherServlet'
16/12/2023 11:57:53.400 INFO  [http-nio-8088-exec-2] o.s.web.servlet.DispatcherServlet (initServletBean:547): Completed initialization in 1 ms
16/12/2023 11:57:53.462 INFO  [http-nio-8088-exec-2] c.k.klktkotlin.webapi.DvcController (getData:41): objInput Dev: {"name":"Add your name in the body"}
